utterance,hat
Are you sure that's high enough ?,white
Maybe you got your plate too full this semester ? You can change that next semester .,green
I ’ ll be ready . __eou__,yellow
Let's put it over there .,yellow
She is really something . __eou__,white
I suppose so . It's great .,yellow
What if you want to publish some photos ?,white
Christmas is also a special time for us to have the family reunion and to express our best wishes to those we love and those who love us in the coming new year .,black
I told you to hurry up a thousand times . You just put a deaf ear to it .,red
"I'm not sure if we've got any now . Books of that kind are on this shelf . Well , I'm afraid we've sold out .",red
"True . With the extension of railways and highways , and the improvement of safety and capacity of airplanes , ships and boats have been giving place to trains , planes and automobiles .",black
I know . That ’ s why I bought it . I hate wearing the same styles like everybody else is wearing .,black
"I ride my bike . I don't live too far away , so it's pretty convenient . it's only about a ten minute bike ride from my house to the office .",black
It seems that is a better way . Thank you .,green
"Thanks , but I speak English with a strong German accent .",yellow
"The style is all right , but I'm not sure about the color . Let me think for a while . __eou__",green
What ’ s your long term goal ?,white
"Oh , it's no problem.It ' s OK.You know , it only happened once .",yellow
When's the last time you had it serviced ?,black
Says who ? I don't think that is necessarily the case .,red
You should be able to provide a layoff notice or proof of severance .,white
"Besides , speaking of classical music , we should never forget about the New Year's Concert .",yellow
"well , I didn't realize that .",green
I am flying like a bird .,yellow
I have a sweet tooth . I can not help but think about having something sweet between meals .,black
I like summer as long as it's bright like this .,black
But work is a huge portion of our lives . I'm looking forward to making it fun .,green
No problem . What about this carry-on ?,green
Do you know that is a hard job ?,white
"Coffee , please .",yellow
"Yes , according to the agenda , there will be a seminar on these issues at the very beginning of the training course .",black
"Wow , that would be something to look forward to . __eou__",yellow
I am fed up with Jack . He is so weak in dealing with other people and always eats dirt .,red
"I had a pretty strict up-bring , and my parents and I were always fighting about it .",black
Put on a sweater ! I ’ m not gonna let you run up my heating bill just because it ’ s a bit chilly .,red
"I knew there would be a shower , but I didn't realize it would rain cats and dogs today .",white
"If you have any problem in your work , let me know .",white
I see . You simply can't blame the server for this .,white
You were there when the problem started . I was hoping you could fill me in on the details .,black
I sure will . Thanks . __eou__,white
"Yes , where should we go from here ?",black
"Because I'm living a real world , a man enriched have a good career and make a lot of money . Franklin speaking the girls I've met wounldn't married a man wounldn't make enough money .",white
Sure . Let ’ s go . What are you going to have done ?,yellow
I saw on the tv yesterday that there has been another earthquake in Iran .,black
"A little bit , but I know that the elevator isn't enclosed . at least I wouldn't be smothered there .",green
"I ’ m not going to put this off any longer , Casey ! I want those photos ASAP ! __eou__",red
That is our office block . We have all the administrative depart - ments there . Down there is the research and development section .,black
What ? Why didn ’ t you tell me before ? What are you doing here ?,black
Let me see . It's not an eagle . I think it's a vulture .,yellow
That ’ s what I was thinking . I ’ ll have them there by Thursday .,yellow
"No matter what I do , I'm going to ace this test and go on to become a corporate fat cat !",yellow
"That's different . When I'm working , I'm in a different frame of mind . But , when I even think about asking her out , I get tongue-tied . At least in a note , I can get the words out without turning beet red .",yellow
what's your apartment like ?,black
"Thank you honey , it means a lot to me . __eou__",white
what do you think about all the different diets people go on ?,white
"Then take your time , please .",green
"Would it be okey to look at the room , now ?",green
Definitely . I ’ m really sorry ! __eou__,red
Can we talk about the working overtime issue ? What ’ s on your mind ?,black
"You ’ ll notice that the window treatments , carpeting , and drapes are all new .",green
I think it ’ s wonderful to see people from all over the world taking part in such a great event .,black
I feel the same way . __eou__,red
"to people all over the world ! I have a lot of net pals . See , the magic of internet is that it connects people from all over the world . You can chat with someone thousands of miles away as if they were",black
"Well , you're here . And that's the main thing . __eou__",yellow
"Yes , that's my only day off until Thursday .",yellow
I wonder if there was an accident .,green
Congratulations ! I had no idea .,yellow
Sure . I just need to do one other job first . How about if I come up around 11:30 ? __eou__,white
"Too many . I will just give you one example , Huangguoshu Falls , the largest waler-fall in China . __eou__",green
Are you going out again ?,white
It can cost as little as five hundred dollars and as much as one thousand dollars .,green
I have no idea . Could you recommend some to me ?,green
We have absolute proof that you committed the crime .,white
"I'm afraid not , unless you want a night flight .",red
Nothing . I just feel very lonely in this city . I miss my family .,red
You'll never guess what I won at work today ! - Tickets to tonight's final NBA game .,yellow
Oh ! You're engaged ! What a beautiful engagement ring ! Who to ?,yellow
"Sorry , I thought you knew .",white
That's a good idea . I hear Mary and Sally often go there to play singsong . Perhaps we can make a foursome with them .,yellow
So people can go and root for their old school team ?,green
"No , I don't . Please .",white
Everything sounds great then ! I'll meet you back here on Friday to discuss the details . __eou__,yellow
Thank you for encouraging me . There are problems cropping up here and there . But I will over come them one by one . __eou__,yellow
"Julia , look at me ! I'm gaining weight . How could I lose weight ? Do you have any good ideas ?",green
"Well , I'm really worried about my grades . I didn't think this course would be so stressful .",red
But Mom ! Today we ’ re playing football ! I love football !,red
"Oh , wait a minute . What about a lid for the pan ?",green
that ’ s all right . __eou__,yellow
My pleasure . ( It was my pleasure . ) __eou__,yellow
Fairly expensive . __eou__,white
It's instructive and inspiring .,yellow
"Well , that sounds better than giving it up . __eou__",green
"No , you must stay ! I swear it , and the oath shall be kept .",red
What color would you prefer ?,green
Don't bother . __eou__,red
"No , I didn't save this time.Damn it ! And I'm sick of writing this paper . Now I have to write it all over again too .",red
Great . Let's go . __eou__,yellow
"Oh , breaktime flies .",red
Yeah . It's boring . I'd rather read something more exciting . __eou__,red
"I'm sure it is wonderful , but I need an unfurnished apartment with relatively lower cost .",green
I have some good news for you .,yellow
Should I try to put the fire out ?,black
Awful . It was a complete waste of time .,red
Good for you ! You ’ Ve got new curtains too . That ’ s a very nice shade of blue . This sofa is very comfortable . I could sit on it all day !,white
"After watching my diet , what else should I do ?",green
Great . I'll bring the food . __eou__,yellow
"I agree that it was bad service , but I heard one of the other waiters mentioning that it was our server's first night on the job .",white
"I used to be an atheist . But in recent months , I couldn't but form a more favorable opinion of horoscope .",black
"Yeah , it is a good idea . You can stay in my house for the night if you would like to .",green
"I used to go hunting with my uncle , that's how .",black
"Well , I still hate having a curfew .",red
Why are you trying to rush me off the phone ?,red
"Well , if it ’ s not a problem . Then here you go .",green
The bourbon is 15 dollars plus 10 % service charge . So the total is 16.5 dollars .,yellow
Great . We can't keep up with the demand .,yellow
"Sorry , but this is the best price . You can ’ t get it any cheaper than here .",red
"Ah , got it . Ideal Life School , programs",yellow
I don't like anything about it .,red
Is it cold or warm in autumn ?,black
"But why were you getting off work so late ? The office close at six , doesn't it ?",red
"For sure ! I mean we ’ Ve learned how to apply pressure to stop bleeding , how to check for a pulse , and even how to apply CPR !",green
I still like the olive one best . There's a tailor here who can take up the sleeves for you .,white
And when is your son's birthday ?,black
"Ya , they do . Anyone else come to mind ?",black
The fragrance of plum blossoms comes from the hard coldness . __eou__,yellow
Gee . I must have left it in my hotel room .,red
"Certainly . It could really benefit someone like you . Besides insurance for you , you can also get more or less dividends from the insurance company .",green
You can say that again . __eou__,white
"No , you can't . The bench is wet , too .",white
Looking at the beautiful creatures and listening to their songs are such wonderful experiences . I feel as if I'm in direct contact with nature .,yellow
"Well , after the half of the meeting , there will be an interval for rest and refreshment . __eou__",white
It ’ s simply because the tins were damaged .,red
"To be honest , I like most of them , except for my Chinese teacher . She is quite young , but her class is too boring !",black
Thank you for letting me borrow your portable CD player .,yellow
I don't know . I think you might be over the hill .,white
"He constantly lets inappropriate things slip out , referring to the women employees as girls or calling us sweetheart or darling . I doubt any of my male colleagues would stand for such treatment .",red
I am . I just went to the travel agent ’ s and picked up these brochures .,black
have you read the feature article about Oprah Winfrey in this magazine ?,black
"Yes precisely . Although I was born in the US , I would definitely call London home . But as you see I ’ Ve actually spent a lot of my life moving from country to country . My Father was in the oil business",black
We have developed new technology about it . And the new product will be a pleasure to be hold .,yellow
"For the first drive , put the golf ball on the tee , and push the tee into the ground .",yellow
"Definitely , it's time to say bye-bye to the last year and to say hello to the new year !",white
"Ok , as John after Kennedy put it , let us never negotiate out of fear , but let us never fear to negotiate . __eou__",green
Congratulations ! Why do people hold parties before the baby is born ?,yellow
We get alone very well . __eou__,yellow
"Well , I am really passionate about consumer behavior , so I pursued a master ’ s in that area . I also strive to keep my professional skills current , so I continuously attend seminars and conferences related management and customer service .",white
I am sorry for making you wait so long . Now there is a table available in non-smoking section . Please follow me .,red
that's why I like department stores more . Shopping at a wholesale market like the locals is one of the few things I am unable to grow accustomed to .,green
I'm fine . I'm just so touched by the sad story .,red
We ’ Ve got four more games . I hope we can win all of them . __eou__,white
"We could take the subway , but we'd have to go three stops along one line and then change trains twice .",green
"I like all sorts of movies , primarily drama and science fiction .",black
Is your brother older or younger than you ?,black
They went to their stores to get one . Here they come with it now !,black
How about Great Canyon ?,white
"Yes , this runway is going to sparkle with glamour and style !",yellow
"Yes , it did . The names of those village survive as the names of parts of the city .",white
"Yes , and please be more careful in the future !",red
"But she means to help you , not to trouble you .",black
"You are so romantic , my sweetheart . __eou__",yellow
Shut up !,red
"No , they live alone . __eou__",white
"well , if it's not broken , then you need to learn how to vacuum better , because it doesn't look like you've vacuumed for ages !",black
"First , you have had an impressive growth record , ever since the company had been founded for half a century . Second , I can improve myself by working here .",white
"I don ’ t know . I think I did well in the paper exams . I was prepared to answer a lot of questions , but they didn ’ t ask those as I expected . To my surprise , the manager tried to talk about the Chinese poesy with me .",black
I also heard if a player has committed 5 fouls then he must be out of the game .,white
"Does the class start again , Mam ?",white
"Yeah , I never thought we could be good friends either . We have our differences . She's more outgoing and active while I am more quiet and reversed , but we still get along extremely well . We can talk for hours about anything .",black
"No , really . Look . It's got a double time zone setting .",white
What about the afternoon ?,white
"Wow , a story about the clever Monkey King . It's a classic and children's favorite .",green
I was hoping that we could take a walk down the street to my favorite cafe .,yellow
You must be joking.Those two .,white
"Yes it is , but you ’ ll have to discuss the details with your manager .",black
Yes . I once worked in a small stock exchange . My work is very simple .,black
"I ’ ll pick you up at ... say , 7,30 ?",white
"I ’ d like that , but I ’ m flying home this afternoon , and I told my parents I ’ d meet them at the airport for lunch .",white
It certainly didn't arrive here that way .,red
"I ’ m sure they are . Oh , and a local man won the lottery . I ’ m so jealous ! I wish it were me ! I buy a lottery ticket every week and I ’ m amazed that I haven ’ t even won a small prize yet . It ’ s so unfair !",red
"Great , have a good day , thanks again for the offer . __eou__",white
"Yes , I would call three of my former classmates really close friends . We often get together and talk with each other . Whenever I counter difficulties , they are always ready to give me a hand .",black
I hate school !,red
"Hi , Mary , I didn't see you at work this morning . Are you all right ?",black
"well , I work in the marketing department . The corporate culture is totally different from my last employer . Before , when I was assigned a task , I was totally on my own but here most of the work is don",black
"Yep , you've got it ! What should we do ?",green
Last night,white
"Well , let's take the measurements right now . __eou__",yellow
"Yes , I think I am quite proficient in both written and spoken English .",white
"Oh , right . So , I can ’ t quite follow what ’ s going on ... who ’ s winning ?",yellow
"Mmmm . .. OK , let's try to be .",yellow
"In order to extend our export business to your country , we wish to enter into direct business relations with you .",yellow
why not ? it's so cool .,green
"Well , it's too bad that we like different kinds of movies . Maybe we're just different kinds of people .",red
"Well , I know . So I am thinking now .",green
"Oh , that's a nice one of all of you together . Do you have the negative ? May I have a copy ?",yellow
I'd like to taste some local dishes . What would you recommend ?,green
"Hmm , what I'm fearful of is that the accommodation will also deteriorate once we choose a cheaper hotel .",black
How can you get that done ?,black
The worst part is that the inflation hurts the poor more than the rich . It also leads to more unemployment in the long run . I don't know what a good solution would be to make the economy more vibrant again ...,black
It takes time for that . But people's consuming attitudes are changing quickly .,green
Check and double check . __eou__,white
"Actually , we thought it would be fun to have a formal sit-down dinner for the holidays .",yellow
It is stupid to say so . __eou__,red
"Well , I suppose one of the problems is ... will depend on what a person's life style is , and that if he has other outside interests which are equally important to him as television , he will then , you know , hmm . be more careful about which programme she wants to watch because he has time which he wants to use for other things .",black
"Oh , I didn't watch the football match . I wanted to but my wife preferred to see the old film .",black
"It's 7500 yuan per square meter , and I really like the one with three bedrooms and a large living room . Its total area is about 80 square meters .",black
What if I can ’ t meet that requirement ?,green
"Well , you know , the traffic in Beijing is sometimes dangerous . Therefore , I have to remind you of something . First , you should obey the traffic rules , don't break in the red light . Second , don't play a joke with your friends when riding on the bike . Third , do not hurry up when riding , or would make an accident . Finally , remember come on the left and go on the right !",green
Sure . Come on it . We just finished rebuilding everything .,green
"I'm very worried , doctor . I'm afraid that I'm very ill .",red
"Whatever brought us together , I'm happy . __eou__",yellow
What a bummer ! You set me up ?,red
"I was really sad too , but at least I can still listen to their Cds . __eou__",white
No ! My tour bus got a speeding ticket not ten minutes ago . Now my engine is on fire !,red
And junk food contains lots of fat and oil . There is one final reason why so many people are fat .,green
Yes . My bank offers very good terms and conditions on mortgage . There ’ s a lot of competition between banks nowadays . Each one is trying to offer better conditions and services than the others .,black
"Yeah , but you guys don't stay with the same classmates all day , right ?",green
How about some coffee and tea as well ?,green
"No , thank you . I had too much to drink yesterday evening . I had a bad hangover this morning . My head felt terrible .",yellow
"I've already told my buddy , Mark , that I am going hunting with him in Alaska .",white
"Well ... l like the traditional flavors like rum raisin , butter pecan . maple walnut , strawberry , chocolate and vanilla . But now there are some new flavors from Asia like green tea and durian .",green
"Well , we have always dreamed of owning our own home , but real estate 1 in this area is extremely expensive .",black
What about roses ?,green
"I like the novels of Inches very much , I have reading almost all of them in Chinese translation , I wish i can reading them in the original . __eou__",white
"Aw , shucks , ma'am . __eou__",yellow
Hello . I need to speak with Allan Cartwright .,white
Will they need anything else from me ?,white
Sure and which one would you like ?,green
"Sure , the Huanghe carp with sugar and vinegar is famous in our restaurant .",green
"Thank you , but I really want to relax myself . I ’ m very sorry .",red
Don't you hate fighting the crowds on the weekends ?,black
I'm not very familiar with Chinese cuisine . What can you recommend ?,black
"Wow , that's my favorite . It's like a superman shooting right up into the sky .",green
"Sorry , I overslept . My clock didn't go off this morning .",red
"It means ' telegraphic transfer ' . So , if you use this way it's fast and secure and can be done from anywhere , to anywhere in the world . __eou__",green
Are all lucky people so stuck up ?,red
Then how do you explain so many rich people committing suicide ?,black
It's all over . I'm bankrupt .,red
Yes I have . I went to the table tennis yesterday .,white
Most women follow fashion like sheep.They don't know any better than imitate .,yellow
"No , he didn't tell me about it . Don't feel bad .",black
"Fruit juice , cake and refreshments and everything .",green
It was horrible ! I played play it much better at home !,red
"Hi , boss . You wanted to see me ?",white
A tough job . They even offer in-service training every Wednesday afternoon .,black
"It is the best season to view red leaves from the Mid-October to the first ten days of November . During the period , thousands of hectares of maples on the sloping field are so red that you would recognize them as fallen petals by mistake if looking from a further area . The bright red , pink , scarlet , and peach-puff leaves are distributed in different layout , with some green pines and cypresses dotted in between .",yellow
"Honey , I don ’ t know what to tell you . Of course Tony is a young child . But do not underestimate his ability to learn and reason .",green
Where can I get the subway Madam ?,black
They come from tropical countries . __eou__,green
"Yes . Look , it is on my desk .",yellow
that's right . It'll probably work out to be about the same then anyway .,black
What's the weather like in your country ?,black
Great ! I'm having a great time . __eou__,yellow
I have plenty of time to do this . I promise you it won't be a problem for me .,black
Don ’ t worry . I'll buy a new necklace as same as the old one .,yellow
now we get along very well . It makes me feel that I'm someone special . __eou__,green
"These price wars are disastrous for our bottom line . If they're charging 10 % less than we are , we've got to find a way to lower our price while keeping our profit .",green
I like this kind of weather .,yellow
so ... what kind of things do you do in your free time ?,black
"Oh , fine . Hey , why don ’ t we grab a bite to eat and do some catching up ?",yellow
"I wouldn't call myself outgoing . I used to be very shy when I was little , and it seems that I get a little more relaxed a-round people year after year , and have more fun in groups .",white
"When the lower branches are removed , you ’ ll be able to sit under the tree .",yellow
"Oh , your precious game . You watch the same game every year , and each year your beloved hometown team loses by at least three goals !",red
"Come on , you can't be serious ! We should never give in to terrorist's demands , otherwise where would we be ?",black
"Oh , yes . We all sat on the grass , and Margaret played the guitar and sang Greek songs .",yellow
I guess I'll wait a few more days . There maybe even bigger discount then .,green
"Oh , to be frank , I think it's sheer waste of time to watch it .",red
It's hard to say . They all had an active campaign to round up the votes .,black
My bad . I didn't realize that it was so late .,red
That ’ s correct . It ’ s a murder mystery based on actual murders that book place in Florida several years ago . The main character-the police invesigator-is based on the man who investigated the case .,black
Me too . That movie brought tears to my eyes .,yellow
Sure . Let me help you . __eou__,green
My brother in-law just dropped in from the states .,red
No problem . Did you bring any gifts back for your department ?,white
"Well , let's stop dragging our feet and find a Sichuan hot pot restaurant for dinner !",yellow
"I think our success is partly because of Wallace's contribution , and partly because of our new marketing strategy . Because of the new advertising campaign , we have become the top sellers in the field .",white
"You'll just need roughly $ 10 for food and gas money . My friend is driving , so we usually all chip in a few dollars for gas money .",yellow
It sounds like a good idea .,white
I am having a hard time at my job .,red
"I've already made a hotel reservation for you , let's go to the hotel first and drop off your things . Then , I'd like to have a drink so that we can get better acquainted . I've booked a table at an exclusive restaurant downtown . Afterwards , I've made arrangements to take you to see the city lights . Seattle ’ s nightlife can be really quite exciting . How does that schedule sound to you ?",yellow
"That's all right.We ' ll get used to it.Besides , it is quiet up there.We ' re little further away from the street and traffic noise and there's no one living over us .",green
I like classical music . Do you ?,white
Yes . We have all kinds of colors for it .,green
"Do you want to help me make the cookies , Anna ?",green
"How can we relate tiger to this spot , Miss Zhang ?",green
"Today's interview is for us to get to know a little about you . If needed , there will be a more lengthy interview later . So , if you ’ re comfortable , let's begin .",white
That just isn't good enough . Cet me your general manager . I want to speak to him now .,red
I'd like to . But I'm not myself today .,red
"I have already known that . I didn't get the scholarship , right ?",red
"Okay , thank you . I'll make another reservation as soon as I can .",red
"Hold on , Paula . It does sound pretty serious . But I ’ m sure you can work this out .",green
My fish is pretty dry too .,red
Can I see your parents some time tomorrow ?,black
And I ’ m so honored that you would want to be with me because you would never be with anyone who wasn ’ t truly worthy .,white
"Yes , But I couldn ’ t help it . I was late getting off work for a start and then I miss the bus . The bus I did catch that stuck in the traffic jam . It was one thing after another .",black
"Well , according to your experience , perhaps you could tell me what essential qualities a personnel department office clerk should maintain .",black
"Yes , I would like a vodka gimlet , please .",white
That ’ s true . many people from the south don ’ t like the whether here .,black
"So , what changed ?",white
Why are you doggy-paddling ? I taught you how to swim ! Do your breast stroke !,yellow
"I'm afraid not , sir . Generally we can , but you know how it is in the rush hour now .",red
He makes me nervous . He looks at me funny . And he never buys anything !,red
He's fine . He retired last week . It's a turning point in his life . Now he can relax and enjoy his retirement .,black
They say that Showing wine tastes quite good . What's it ?,green
Any rain right now would be pointless .,red
I couldn't . I was bound and gagged .,red
Ohhhh . I hate this part of my job .,red
"That ’ s quite the array of nationalities . Everyone in my class is from Asia , except me . There are a few South Koreans , several Japanese , Malaysian , Thai , Singaporean , Filipino , Kazakhstan , and o",green
"Well , I think it's the time to pull the plug .",red
Two months ? How did you find out ?,white
"Of course , all the workers here are able to swim , and they will come to your aid quickly . __eou__",black
"Look , Danny . The Four Great Inventions !",green
What ’ s the next question .,white
Everything's been good with you ?,black
"I think she has her ears pierced and she definitely has a few tattoos , one on her lower back , one on her neck , and one on her left foot .",black
"Well , my mum lost her job yesterday .",red
Can't you make it cheaper ? I still can't afford the car .,green
"Yes , of course . The meals and excursions were included in the hotel price .",white
Shall we have a game together some day ?,yellow
"Hello , is that John ?",white
"Well , I'll see . Sometimes the stores don't have some of the new kinds of cereal . __eou__",green
"Egg , this bathroom is a pigsty !",red
The idea about Friday the Thirteenth is totally ridiculous . I don't believe it at all .,black
"Just like you celebrate Christmas , we celebrate our lunar New Year's Day , the Spring Festival . It is a time for the family members and relatives to have a get-together .",yellow
Sure . It's undoubtedly one of the biggest classical music events . Have you ever been to the live show ?,black
Is there someone I can talk to about a payment question ?,black
Can we walk there ?,green
congratulations ! I had no idea .,black
I'd like to call on you this weekend . I just want to a drop in for a chat .,yellow
Is it true that one of our competitors is planning to launch their tracking service next month ?,black
"I'm afraid not . We insist on a letter of credit , because as seller , we also have the problem of funds being tied up .",white
I think I'm going to look for another job . I need to find a boss that is a bit more sensitive and optimistic than my current boss .,green
just don't understand why we have to take the subway . Look at this place . It's modern enough . But it's far from lively .,black
"Oh , good . Why don ’ t you take the bus to mine and we could play Mah Tiang ?",yellow
Isn ’ t London hot in the summer ?,black
"Well , that's why you'r here.My source for big TV sets overcharged me on the last shipment , so I need someone new . I wanted to meet you to see if we can work together . I think",black
"Thank you , yes . I'm not sure how to use this ATM , I usually go to a clerk and use my Bank Book . But today , I thought I'd try something new . I want to take some money out .",green
"Fine , well just send the form to us and we will let you know as soon as your supplies come in . Have a good day !",yellow
I want to go to see a movie this weekend .,black
I could get along fine without all the office politics .,black
"Mum , I have something for you today .",yellow
"Yes , I think they might have gone to the same college or something like that . I'm not exactly sure how they know each other .",black
"Never ! He ’ s over 80 , isn ’ t he ?",black
The Internet is making interaction much faster . People are getting to know each other much more quickly this way .,black
"Hi , Ann . I was wondering if you are free tomorrow night ?",white
Will I have the chance to take business trip abroad once in a while ?,black
Certainly . __eou__,white
"Our foundation is very high quality , only the finest ingredients . It will moisturize your skin and it has a sun block rating of 8 .",green
Sweet.Can you tell me where it is ?,black
I can ’ t thank you enough . I ’ m really touched . I don ’ t know what to say .,yellow
really ? What do the companies do that for ?,black
His name is Tony and we met my first night in Pathos . He works with my sister who lives there .,yellow
Not a great week for the world ! Any good news ?,red
"No , once I fill the tub with beer , I'll get the ice . The beer will be cool if you put the tub under the ice . The cooler , the better .",white
Because they are too violent . Some of them are even disgusting .,red
Just having a chat . __eou__,white
"I'm all set . Thank you for the dinner , Jack .",yellow
This is your change . __eou__,green
"Ah I see , yes you do sound rather croaky . Well let ’ s have a look , shall we ? Could you please open your mouth and say ” ah ” .",green
"What about Tianqiao Temple Fair ? A variety of opera performances , acrobatics shows , and food will dazzle you .",black
What time do you open this evening ?,white
That would be convenient . They might as well ask him to fix the electrical wiring . The circuit breakers keep going out all the time . It ’ s really annoying !,red
You mean we'll share the taxi ?,green
I can ’ t possibly travel on a hard seat for 10 hours !,red
"Very interesting . But I'm afraid we'd better do something else . Hey , look ! There is a huge lantern there . Let's get close to it .",yellow
All right . I'll call you tonight and tell you the time .,yellow
Oh you ’ re exaggerating . I ’ m never really good at making hairdo .,yellow
What does your friend Jim do ?,black
"yes , I guess I should try to use it .",white
You didn't ring me last night.You said you would .,red
I think it is the worst one I have ever seen .,red
Can we have dinner together sometime this weekend ?,black
"It's too early . Let's make it seven , OK ?",white
"I'm headed to the 18th floor , the top floor .",black
There are computers at our EDD offices for you to use in your job search .,black
I have to tell you that I can't be in today and tomorrow .,black
Very well . We started organizing everything early to avoid a last minute rush to get things done .,black
"I ’ m sorry , sir . Could you tell me your name and order again , please ? I ’ ll check on the delay .",red
"Gosh , another stop.It seems the cars ahead of us have to stop every two minutes , It's no quicker than a bus .",red
It's my pleasure . Shall we go there on foot ? It's very near .,yellow
It's scary .,red
how about rock and roll 。,green
Well . I ’ m rather disappointed with it .,red
I don't know what to do about the people who live in the flat above me !,red
"That's right.After their school day is over , they go to a special institute to study math or English.They are very serious about learning over there .",black
Of course . Will American Express do ?,green
Yes . He ’ s already got the passport and visa .,yellow
Cartons . Is that okay ?,white
"Yes , I do not want to see ur sleeping in the office .",white
Come in ! Quickly !,red
"I have taken some courses in college , such as translation , business English , and so on . So I have a good mastery of both spoken and written English",black
We got lost coming back . I guess I don't really know this town yet .,red
