examples,hat
If you want the facts and figures you can (expletive deleted) have them,white
Give me your broad white hat thinking on unemployment,white
Now  give me the figures for school-leavers six months after they have left school,white
"As I said, he returned to his apartment at six-thirty in the morning because he had spent the whole night gambling",white
"Mr Jones, did you actually see the defendant gambling on the night of 30 June, or did he tell you he had been gambling",white
"No, Your Honour. But he goes gambling almost every night",white
"Mr Jones, if you were wearing the white thinking hat, what might you have said",white
I observed the defendant returning to his apartment at six-thirty in the morning on 1 July,white
Thank you. You may stand down,white
"Last year there was a twenty-five per cent increase in the sale of turkey meat in the US, due to the interest in dieting and the concern with health",white
"Mr Fitzler, I have asked you to put on your  white hat",white
"No, sir. Market research clearly shows that the reason people give for buying turkey meat is that they think it is lower in cholesterol",white
Well then you have two facts. Fact one: that turkey-meat sales have risen by twenty-five per cent in the last year. Fact two: some market research shows that people claim to buy turkey meat because of their concern with cholesterol,white
There is a rising trend in the number of women smoking cigars,white
That is not a fact,white
It is. I have the figures here,white
What your figures show is that for each of the last three years the number of women smoking cigars has risen above the level for the previous year,white
Isn’t that a trend,white
It could be. But that is an interpretation. To me a trend suggests something that is happening and will continue to happen. The figures are the fact. It may be that women are smoking more cigars because they are smoking more anyway – possibly due to increased anxiety. Or it may simply be that over the last three years cigarmakers have spent an unusual amount of money persuading women to smoke cigars. The first is a trend that could provide opportunities. The second is much less of an opportunity,white
I simply used the word  trend  to describe rising figures,white
"That may be a fair use of the word  trend , but there is  the other use with the implication of an ongoing process. So it might be better to use pure white hat thinking and say: ‘For the last three years the figures show an increase in the number of women smoking.’ Then we can discuss what this means and what it may be due to",white
I think I am right in saying that the Russian merchant fleet carries a significant part of world trade,white
I once read that the reason Japanese executives have such large expense accounts is that they give all their salary to their wives,white
I believe I am right in saying that the new Boeing 757 is much quieter than the previous generation of aircraft,white
Someone once told me that he had heard from a friend that Churchill secretly admired Hitler,white
It is Professor Schmidt’s opinion that man-powered flight will never be possible,white
By and large corporations that base their spending on extrapolated future sales run into trouble. (It is possible to point to a few companies that have done this and been successful.),white
"Sales will tend to rise if prices are lowered. (When house prices rise there may actually be increased sales for reasons of speculation, fear of inflation and fear of being left behind.)",white
"If you work hard, you will be successful in life. (A lot of hard-working people are not particularly successful.) The  spectrum of likelihood might be expressed as follows: Always true Usually true Generally true By and large More often than not About half the time Often Sometimes true Occasionally true Been known to happen Never true Cannot be true (contradictory) How far along this spectrum is it permissible to go with the white hat role",white
"Measles is usually harmless, but it can  sometimes  be followed by secondary infections, such as ear infections",white
In  very rare cases  inoculation can be followed by encephalitis,white
When irritated this breed of dog  has been known  to snap at children,white
There was a man who fell out of an aeroplane without a parachute and survived,white
Ford is said to have designed the Edsel on the basis of market research and it was a total disaster,white
"Designs based on market research can often fail. Take, for instance, the Edsel car, the design of which is said to have been based on market research",white
All the experts predict that the interest rate will fall by the end of the year,white
I talked to four experts and each of them predicted that the interest rate will fall by the end of the year,white
"I talked to Mr Flint, Mr Ziegler, Ms Cagliatto and Mr Suarez and all of them predicted that the interest rate will fall by the end of the year",white
What went wrong with our sales campaign,white
To answer that I am going to put on my white hat. We reached thirty- four per cent of retailers. Of these only sixty per cent took the product. Of those who took the product forty per cent took two items on a trial basis. Of the people we spoke to seventy per cent said the price was too high. There are two competitive products on the market with lower prices,white
Now give me your red hat thinking,white
We have a poor product which is overpriced. We have a bad image in the market. The competition’s advertising is better and there is more of it. We do not attract the best salespeople,white
Let’s start off by all putting on our white thinking hats and telling what we know about juvenile crime. What are the figures? Where are the reports,white
You have told me that you are going to order Prime computers. Could you give me your white hat thinking on that,white
I don’t want your guesses on what would happen if we lowered our transatlantic fare to two hundred and fifty dollars. I want your white hat thinking,white
You have asked for my white hat thinking on why I am changing jobs,white
I feel this is the right person for the job,red
I feel this is a risky venture,red
My intuition tells me that this explanation is too complex,red
I feel that the idea has potential,red
That idea is very interesting,red
The idea is very unusual,red
Don’t ask me why. I just don’t like this deal. It’s terrible,red
I do not like him and I don’t want to do business with him. That is all there is to it,red
I have a hunch that this bit of land behind the church is going to be worth a great deal in a few years’ time,red
That design is hideous. It will never catch on. It is a huge waste of money,red
I have a soft spot for Henry. I know he is a conman and he certainly conned us. But he did it with style. I like him,red
My gut feeling is that this deal is never going to succeed. It is bound to end in expensive litigation,red
I sense that this is a no-win situation. We are damned if we do and damned if we don’t. Let’s get out of it,red
I don’t think it is fair to withhold this information until after the deal has been signed,red
"If I were to put on my red hat, I would say that your offer could be seen as furthering your own interests rather than that of the company",red
My red hat thinking tells me you want to oppose the merger in order to preserve your job rather than to benefit the shareholders,red
